"Year","Age","sex","Mortality_Rate"
1993,49,2,0.008692489
1993,50,1,0.011637168
1993,50,2,0.0091299
1993,51,1,0.012424994
1993,51,2,0.009825222
1993,52,1,0.013212819
1993,52,2,0.010520543
1993,53,1,0.014000645
1993,53,2,0.011215865
1993,54,1,0.01478847
1993,54,2,0.011911186
1993,55,1,0.015576296
1993,55,2,0.012606508
1993,56,1,0.017034792
1993,56,2,0.014054845
1993,57,1,0.018493287
1993,57,2,0.015503182
1993,58,1,0.019951783
1993,58,2,0.01695152
1993,59,1,0.021410278
1993,59,2,0.018399857
1993,60,1,0.022868774
1993,60,2,0.019848194
1993,61,1,0.025026254
1993,61,2,0.021691744
1993,62,1,0.027183733
1993,62,2,0.023535294
1993,63,1,0.029341213
1993,63,2,0.025378844
1993,64,1,0.031498692
1993,64,2,0.027222394
1993,65,1,0.033656172
1993,65,2,0.029065944
1993,66,1,0.03739142
1993,66,2,0.032637954
1993,67,1,0.041126667
1993,67,2,0.036209963
1993,68,1,0.044861915
1993,68,2,0.039781973
1993,69,1,0.048597162
1993,69,2,0.043353982
1993,70,1,0.05233241
1993,70,2,0.046925992
1993,71,1,0.057594373
1993,71,2,0.051759964
1993,72,1,0.062856336
1993,72,2,0.056593937
1993,73,1,0.068118298
1993,73,2,0.061427909
1993,74,1,0.073380261
1993,74,2,0.066261882
1993,75,1,0.078642224
1993,75,2,0.071095854
1993,76,1,0.094568895
1993,76,2,0.086665196
1993,77,1,0.110495566
1993,77,2,0.102234537
1993,78,1,0.126422236
1993,78,2,0.117803879
1993,79,1,0.142348907
1993,79,2,0.13337322
1993,80,1,0.158275578
1993,80,2,0.148942562
1993,81,1,0.158275578
1993,81,2,0.148942562
1993,82,1,0.158275578
1993,82,2,0.148942562
1993,83,1,0.158275578
1993,83,2,0.148942562
1993,84,1,0.158275578
1993,84,2,0.148942562
1993,85,1,0.158275578
1993,85,2,0.148942562
1993,86,1,0.158275578
1993,86,2,0.148942562
1993,87,1,0.158275578
1993,87,2,0.148942562
1993,88,1,0.158275578
1993,88,2,0.148942562
1993,89,1,0.158275578
1993,89,2,0.148942562
1993,90,1,0.158275578
1993,90,2,0.148942562
1993,91,1,0.158275578
1993,91,2,0.148942562
1993,92,1,0.158275578
1993,92,2,0.148942562
1993,93,1,0.158275578
1993,93,2,0.148942562
1993,94,1,0.158275578
1993,94,2,0.148942562
1993,95,1,0.158275578
1993,95,2,0.148942562
1993,96,1,0.158275578
1993,96,2,0.148942562
1993,97,1,0.158275578
1993,97,2,0.148942562
1993,98,1,0.158275578
1993,98,2,0.148942562
1993,99,1,0.158275578
1993,99,2,0.148942562
1993,100,1,0.158275578
1993,100,2,0.148942562
1993,101,1,0.158275578
1993,101,2,0.148942562
1993,102,1,0.158275578
1993,102,2,0.148942562
1993,103,1,0.158275578
1993,103,2,0.148942562
1994,1,1,0.00911902
1994,1,2,0.008227674
1994,2,1,0.007307842
1994,2,2,0.006608477
1994,3,1,0.005496664
1994,3,2,0.004989279
1994,4,1,0.003685486
1994,4,2,0.003370082
1994,5,1,0.001874308
1994,5,2,0.001750884
1994,6,1,0.001749633
1994,6,2,0.001616672
1994,7,1,0.001624958
1994,7,2,0.001482459
1994,8,1,0.001500284
1994,8,2,0.001348247
1994,9,1,0.001375609
1994,9,2,0.001214034
1994,10,1,0.001250934
1994,10,2,0.001079822
1994,11,1,0.001284952
1994,11,2,0.001164982
1994,12,1,0.001318971
1994,12,2,0.001250142
1994,13,1,0.001352989
1994,13,2,0.001335302
1994,14,1,0.001387008
1994,14,2,0.001420462
1994,15,1,0.001421026
1994,15,2,0.001505622
1994,16,1,0.001609526
1994,16,2,0.001859759
1994,17,1,0.001798026
1994,17,2,0.002213896
1994,18,1,0.001986526
1994,18,2,0.002568032
1994,19,1,0.002175026
1994,19,2,0.002922169
1994,20,1,0.002363526
1994,20,2,0.003276306
1994,21,1,0.002780091
1994,21,2,0.003684947
1994,22,1,0.003196656
1994,22,2,0.004093588
1994,23,1,0.00361322
1994,23,2,0.004502228
1994,24,1,0.004029785
1994,24,2,0.004910869
1994,25,1,0.00444635
1994,25,2,0.00531951
1994,26,1,0.004886222
1994,26,2,0.00551029
1994,27,1,0.005326094
1994,27,2,0.00570107
1994,28,1,0.005765966
1994,28,2,0.00589185
1994,29,1,0.006205838
1994,29,2,0.00608263
1994,30,1,0.00664571
1994,30,2,0.00627341
1994,31,1,0.006928346
1994,31,2,0.006345135
1994,32,1,0.007210983
1994,32,2,0.00641686
1994,33,1,0.007493619
1994,33,2,0.006488586
1994,34,1,0.007776256
1994,34,2,0.006560311
1994,35,1,0.008058892
1994,35,2,0.006632036
1994,36,1,0.00822369
1994,36,2,0.006588343
1994,37,1,0.008388489
1994,37,2,0.00654465
1994,38,1,0.008553287
1994,38,2,0.006500958
1994,39,1,0.008718086
1994,39,2,0.006457265
1994,40,1,0.008882884
1994,40,2,0.006413572
1994,41,1,0.009208009
1994,41,2,0.006568816
1994,42,1,0.009533134
1994,42,2,0.00672406
1994,43,1,0.00985826
1994,43,2,0.006879304
1994,44,1,0.010183385
1994,44,2,0.007034548
1994,45,1,0.01050851
1994,45,2,0.007189792
1994,46,1,0.010799573
1994,46,2,0.007595566
1994,47,1,0.011090636
1994,47,2,0.008001339
1994,48,1,0.011381698
1994,48,2,0.008407113
1994,49,1,0.011672761
1994,49,2,0.008812886
1994,50,1,0.011963824
1994,50,2,0.00921866
1994,51,1,0.012713065
1994,51,2,0.009891911
1994,52,1,0.013462306
1994,52,2,0.010565162
1994,53,1,0.014211546
1994,53,2,0.011238412
1994,54,1,0.014960787
1994,54,2,0.011911663
1994,55,1,0.015710028
1994,55,2,0.012584914
1994,56,1,0.017121901
1994,56,2,0.014009808
1994,57,1,0.018533774
1994,57,2,0.015434701
1994,58,1,0.019945646
1994,58,2,0.016859595
1994,59,1,0.021357519
1994,59,2,0.018284488
1994,60,1,0.022769392
1994,60,2,0.019709382
1994,61,1,0.024915801
1994,61,2,0.021540348
1994,62,1,0.02706221
1994,62,2,0.023371314
1994,63,1,0.029208618
1994,63,2,0.02520228
1994,64,1,0.031355027
1994,64,2,0.027033246
1994,65,1,0.033501436
1994,65,2,0.028864212
1994,66,1,0.037229963
1994,66,2,0.032406845
1994,67,1,0.04095849
1994,67,2,0.035949478
1994,68,1,0.044687016
1994,68,2,0.03949211
1994,69,1,0.048415543
1994,69,2,0.043034743
1994,70,1,0.05214407
1994,70,2,0.046577376
1994,71,1,0.057410742
1994,71,2,0.051379365
1994,72,1,0.062677415
1994,72,2,0.056181354
1994,73,1,0.067944087
1994,73,2,0.060983344
1994,74,1,0.07321076
1994,74,2,0.065785333
1994,75,1,0.078477432
1994,75,2,0.070587322
1994,76,1,0.094438002
1994,76,2,0.086161533
1994,77,1,0.110398573
1994,77,2,0.101735744
1994,78,1,0.126359143
1994,78,2,0.117309954
1994,79,1,0.142319714
1994,79,2,0.132884165
1994,80,1,0.158280284
1994,80,2,0.148458376
1994,81,1,0.158280284
1994,81,2,0.148458376
1994,82,1,0.158280284
1994,82,2,0.148458376
1994,83,1,0.158280284
1994,83,2,0.148458376
1994,84,1,0.158280284
1994,84,2,0.148458376
1994,85,1,0.158280284
1994,85,2,0.148458376
1994,86,1,0.158280284
1994,86,2,0.148458376
1994,87,1,0.158280284
1994,87,2,0.148458376
1994,88,1,0.158280284
1994,88,2,0.148458376
1994,89,1,0.158280284
1994,89,2,0.148458376
1994,90,1,0.158280284
1994,90,2,0.148458376
1994,91,1,0.158280284
1994,91,2,0.148458376
1994,92,1,0.158280284
1994,92,2,0.148458376
1994,93,1,0.158280284
1994,93,2,0.148458376
1994,94,1,0.158280284
1994,94,2,0.148458376
1994,95,1,0.158280284
1994,95,2,0.148458376
1994,96,1,0.158280284
1994,96,2,0.148458376
1994,97,1,0.158280284
1994,97,2,0.148458376
1994,98,1,0.158280284
1994,98,2,0.148458376
1994,99,1,0.158280284
1994,99,2,0.148458376
1994,100,1,0.158280284
1994,100,2,0.148458376
1994,101,1,0.158280284
1994,101,2,0.148458376
1994,102,1,0.158280284
1994,102,2,0.148458376
1994,103,1,0.158280284
1994,103,2,0.148458376
1995,1,1,0.00911852
1995,1,2,0.00823248
1995,2,1,0.00731712
1995,2,2,0.006620228
1995,3,1,0.00551572
1995,3,2,0.005007975
1995,4,1,0.00371432
1995,4,2,0.003395723
1995,5,1,0.00191292
1995,5,2,0.00178347
1995,6,1,0.001785832
1995,6,2,0.001645976
1995,7,1,0.001658744
1995,7,2,0.001508482
1995,8,1,0.001531656
1995,8,2,0.001370988
1995,9,1,0.001404568
1995,9,2,0.001233494
1995,10,1,0.00127748
1995,10,2,0.001096
1995,11,1,0.001304286
1995,11,2,0.0011818
1995,12,1,0.001331092
1995,12,2,0.0012676
1995,13,1,0.001357898
1995,13,2,0.0013534
1995,14,1,0.001384704
1995,14,2,0.0014392
1995,15,1,0.00141151
1995,15,2,0.001525
1995,16,1,0.001611376
1995,16,2,0.001934116
1995,17,1,0.001811242
1995,17,2,0.002343232
1995,18,1,0.002011108
1995,18,2,0.002752348
1995,19,1,0.002210974
1995,19,2,0.003161464
1995,20,1,0.00241084
1995,20,2,0.00357058
